dataset,avg_Accuracy,avg_Precision,avg_Recall,avg_F1,avg_AUC,std_Accuracy,std_Precision,std_Recall,std_F1,std_AUC
Real (Original),0.8319,0.8401,0.8527,0.8462,0.9297,0.0121,0.0134,0.0118,0.0125,0.0089
Real (Seed),0.8625,0.8712,0.8764,0.8737,0.9691,0.0198,0.0210,0.0187,0.0201,0.0143
Synthesized (CTGAN),0.8875,0.8931,0.9074,0.9002,0.9477,0.0162,0.0175,0.0154,0.0168,0.0112
Synthesized (TVAE),0.8562,0.8718,0.8765,0.8741,0.9362,0.0187,0.0195,0.0179,0.0191,0.0134
Synthesized (CopulaGAN),0.9938,0.9941,0.9944,0.9942,0.9987,0.0031,0.0028,0.0033,0.0029,0.0009
Original + CTGAN,0.8361,0.8421,0.8582,0.8501,0.9300,0.0118,0.0126,0.0114,0.0122,0.0087
Original + TVAE,0.8362,0.8423,0.8586,0.8504,0.9309,0.0117,0.0125,0.0113,0.0121,0.0086
Original + CopulaGAN,0.8360,0.8419,0.8580,0.8499,0.9300,0.0119,0.0127,0.0115,0.0123,0.0088
Seed + CTGAN,0.8938,0.9011,0.9036,0.9023,0.9612,0.0174,0.0183,0.0168,0.0178,0.0121
Seed + TVAE,0.9000,0.9074,0.9110,0.9092,0.9743,0.0163,0.0172,0.0158,0.0167,0.0113
Seed + CopulaGAN,0.9219,0.9284,0.9261,0.9271,0.9854,0.0141,0.0152,0.0138,0.0147,0.0098
